,18hr_early,18hr_earlymid,18hr_late,18hr_latemid,3min_early,3min_earlymid,3min_late,3min_latemid,42hr_early,42hr_earlymid,42hr_late,42hr_latemid,49p5hr_early,49p5hr_earlymid,49p5hr_late,49p5hr_latemid,9hr_early,9hr_earlymid,9hr_latemid
rplo 37 (Proteobacteria),44.0,87.0,198.0,162.0,0.0,135.0,66.0,194.0,19.0,28.0,229.0,212.0,66.0,27.0,0.0,56.0,101.0,175.0,127.0
rplo 370 (Chloroflexi),18.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,12.0,0.0,49.0,0.0,22.0,0.0,0.0,33.0,0.0,15.0
rplo 371 (Proteobacteria),22.0,35.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,38.0,0.0,70.0,21.0
rplo 372 (Bacteroidetes),24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
rplo 373 (Proteobacteria),44.0,0.0,0.0,23.0,0.0,45.0,22.0,20.0,0.0,28.0,0.0,0.0,0.0,27.0,20.0,0.0,0.0,18.0,0.0
rplo 374 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0
rplo 375 (Actinobacteria),43.0,34.0,0.0,23.0,0.0,0.0,22.0,0.0,0.0,84.0,0.0,0.0,0.0,107.0,0.0,19.0,0.0,0.0,0.0
rplo 376 (Proteobacteria),0.0,0.0,0.0,0.0,26.0,0.0,28.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
rplo 377 (Chloroflexi),23.0,75.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,29.0,0.0,20.0,0.0,0.0,23.0
rplo 378 (unknown),0.0,0.0,91.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,47.0,29.0
rplo 379 (Cyanobacteria),0.0,0.0,0.0,98.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 38 (Actinobacteria),63.0,117.0,0.0,111.0,38.0,108.0,125.0,56.0,53.0,109.0,88.0,145.0,21.0,78.0,19.0,72.0,58.0,33.0,122.0
rplo 380 (Actinobacteria),46.0,18.0,24.0,49.0,0.0,0.0,0.0,0.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0
rplo 381 (Bacteroidetes),24.0,0.0,0.0,25.0,0.0,24.0,24.0,21.0,0.0,0.0,50.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 382 (Cyanobacteria),0.0,0.0,25.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 383 (Actinobacteria),46.0,18.0,24.0,0.0,0.0,24.0,23.0,0.0,0.0,30.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,17.0,0.0
rplo 384 (Bacteroidetes),0.0,0.0,0.0,0.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 385 (Chlorobi),0.0,34.0,0.0,70.0,0.0,0.0,0.0,19.0,0.0,0.0,48.0,32.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
rplo 386 (Actinobacteria),47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,62.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
rplo 387 (Bacteroidetes),0.0,19.0,46.0,0.0,22.0,0.0,0.0,0.0,41.0,15.0,50.0,33.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
rplo 388 (Verrucomicrobia),0.0,19.0,0.0,0.0,22.0,25.0,0.0,0.0,20.0,16.0,25.0,67.0,0.0,0.0,0.0,21.0,0.0,19.0,0.0
rplo 389 (Armatimonadetes),0.0,0.0,0.0,0.0,44.0,25.0,21.0,0.0,21.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
rplo 39 (Actinobacteria),300.0,68.0,176.0,91.0,78.0,44.0,0.0,38.0,73.0,163.0,0.0,59.0,86.0,107.0,77.0,111.0,40.0,0.0,167.0
rplo 390 (Actinobacteria),21.0,16.0,21.0,22.0,0.0,0.0,21.0,0.0,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,17.0,40.0
rplo 391 (Thermotogae),0.0,0.0,0.0,0.0,16.0,37.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 392 (Firmicutes),23.0,0.0,23.0,0.0,21.0,23.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 393 (Actinobacteria),82.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0
rplo 394 (Bacteroidetes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
rplo 395 (Bacteroidetes),0.0,19.0,72.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,21.0,0.0,0.0,19.0,0.0
rplo 396 (Chloroflexi),36.0,13.0,0.0,19.0,0.0,0.0,0.0,0.0,15.0,12.0,19.0,0.0,18.0,45.0,0.0,47.0,0.0,0.0,18.0
rplo 397 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
rplo 398 (Chloroflexi),45.0,35.0,0.0,47.0,0.0,0.0,0.0,20.0,0.0,14.0,0.0,0.0,45.0,0.0,0.0,38.0,21.0,0.0,0.0
rplo 399 (Proteobacteria),68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,46.0,0.0,0.0
rplo 4 (Firmicutes),1307.0,0.0,25.0,1305.0,0.0,0.0,0.0,0.0,1151.0,16.0,1092.0,1808.0,658.0,2260.0,831.0,3161.0,0.0,0.0,0.0
rplo 40 (Acidobacteria),23.0,55.0,23.0,121.0,187.0,231.0,92.0,61.0,58.0,0.0,164.0,32.0,65.0,85.0,121.0,39.0,84.0,91.0,44.0
rplo 400 (Proteobacteria),0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,63.0,0.0,22.0
rplo 401 (Aquificae),0.0,0.0,24.0,0.0,0.0,0.0,24.0,21.0,0.0,0.0,25.0,0.0,48.0,0.0,0.0,20.0,0.0,0.0,23.0
rplo 402 (Proteobacteria),0.0,18.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,60.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
rplo 403 (Bacteroidetes),0.0,19.0,0.0,0.0,22.0,47.0,0.0,21.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 404 (Cyanobacteria),0.0,0.0,0.0,0.0,20.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
rplo 405 (Actinobacteria),48.0,39.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,19.0,0.0
rplo 406 (Proteobacteria),0.0,93.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0
rplo 407 (Acidobacteria),0.0,0.0,0.0,0.0,0.0,55.0,53.0,0.0,0.0,34.0,0.0,74.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 408 (Deinococcus-Thermus),0.0,17.0,0.0,0.0,20.0,22.0,44.0,0.0,17.0,0.0,0.0,30.0,0.0,0.0,0.0,19.0,0.0,35.0,0.0
rplo 409 (Gemmatimonadetes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
rplo 41 (Proteobacteria),109.0,52.0,0.0,139.0,119.0,67.0,110.0,78.0,260.0,14.0,69.0,60.0,66.0,54.0,217.0,56.0,221.0,70.0,62.0
rplo 410 (Actinobacteria),17.0,57.0,0.0,0.0,0.0,18.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0,16.0,31.0,32.0,0.0,17.0
rplo 411 (Firmicutes),0.0,18.0,0.0,23.0,0.0,0.0,44.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,20.0,19.0,0.0,18.0,43.0
rplo 412 (Acidobacteria),0.0,0.0,0.0,0.0,41.0,21.0,0.0,20.0,19.0,0.0,0.0,31.0,0.0,28.0,0.0,19.0,21.0,18.0,0.0
rplo 413 (Bacteroidetes),0.0,19.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,15.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,23.0
rplo 414 (Chloroflexi),18.0,14.0,0.0,19.0,0.0,0.0,0.0,32.0,0.0,0.0,19.0,24.0,0.0,0.0,0.0,44.0,17.0,0.0,18.0
rplo 415 (Verrucomicrobia),0.0,19.0,0.0,0.0,0.0,0.0,48.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 416 (Firmicutes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 417 (Acidobacteria),0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,112.0,0.0,0.0,0.0,36.0,0.0
rplo 418 (Bacteroidetes),0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,20.0,0.0,25.0,0.0,24.0,0.0,0.0,20.0,0.0,57.0,23.0
rplo 419 (Bacteroidetes),0.0,0.0,0.0,0.0,18.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 42 (Acidobacteria),44.0,18.0,68.0,23.0,141.0,68.0,111.0,79.0,131.0,0.0,23.0,122.0,132.0,54.0,80.0,38.0,184.0,35.0,64.0
rplo 420 (unknown),22.0,0.0,0.0,24.0,0.0,46.0,0.0,20.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 421 (Chloroflexi),0.0,18.0,0.0,0.0,0.0,46.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,28.0,0.0,19.0,21.0,0.0,0.0
rplo 422 (Chloroflexi),0.0,28.0,0.0,0.0,16.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0
rplo 423 (Chloroflexi),0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,56.0
rplo 424 (Acidobacteria),0.0,59.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
rplo 425 (Chloroflexi),30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 426 (Firmicutes),0.0,0.0,98.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,21.0,0.0,16.0,0.0
rplo 427 (unknown),22.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,40.0,0.0,21.0
rplo 428 (Acidobacteria),0.0,17.0,0.0,0.0,0.0,45.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
rplo 429 (Bacteroidetes),0.0,19.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,23.0,0.0,24.0,0.0,21.0,0.0,0.0,0.0,0.0
rplo 43 (Proteobacteria),40.0,32.0,21.0,64.0,129.0,21.0,41.0,108.0,0.0,13.0,85.0,0.0,20.0,101.0,109.0,35.0,74.0,81.0,157.0
rplo 430 (Proteobacteria),0.0,35.0,22.0,23.0,40.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 431 (Thermobaculum),21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,17.0,20.0
rplo 432 (Actinobacteria),0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 433 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 434 (Firmicutes),0.0,0.0,0.0,0.0,18.0,41.0,0.0,71.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,34.0,0.0,0.0,19.0
rplo 435 (Actinobacteria),21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
rplo 436 (Proteobacteria),0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
rplo 437 (Bacteroidetes),47.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,37.0,0.0
rplo 438 (Proteobacteria),25.0,0.0,0.0,26.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,24.0
rplo 439 (Actinobacteria),24.0,58.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
rplo 44 (Actinobacteria),140.0,130.0,24.0,125.0,43.0,48.0,142.0,167.0,140.0,46.0,25.0,33.0,24.0,29.0,85.0,0.0,65.0,113.0,137.0
rplo 440 (Candidatus Roizmanbacteria),0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 441 (Proteobacteria),0.0,15.0,0.0,58.0,0.0,0.0,0.0,0.0,15.0,24.0,0.0,22.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
rplo 442 (Actinobacteria),40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 443 (Firmicutes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,34.0,0.0
rplo 444 (Chloroflexi),22.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,55.0,20.0,19.0,0.0,18.0,0.0
rplo 445 (Verrucomicrobia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,62.0,0.0,19.0,23.0
rplo 446 (Acidobacteria),23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
rplo 447 (Chloroflexi),0.0,0.0,22.0,22.0,0.0,0.0,22.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
rplo 448 (Bacteroidetes),0.0,0.0,0.0,30.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,27.0
rplo 449 (Proteobacteria),0.0,0.0,22.0,23.0,0.0,0.0,0.0,19.0,0.0,0.0,23.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,21.0
rplo 45 (Proteobacteria),87.0,68.0,22.0,69.0,59.0,112.0,66.0,0.0,184.0,57.0,46.0,60.0,44.0,162.0,20.0,91.0,121.0,35.0,127.0
rplo 450 (unknown),22.0,17.0,0.0,22.0,0.0,0.0,0.0,19.0,18.0,71.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
rplo 451 (Acidobacteria),0.0,19.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,0.0
rplo 452 (Bacteroidetes),0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 453 (Actinobacteria),0.0,52.0,0.0,23.0,0.0,0.0,0.0,19.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 454 (unknown),22.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,54.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 455 (Gemmatimonadetes),0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
rplo 456 (Gemmatimonadetes),0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,20.0,19.0,0.0,17.0,0.0
rplo 457 (Proteobacteria),0.0,0.0,0.0,50.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 458 (Chloroflexi),0.0,31.0,0.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,17.0,0.0,15.0,0.0
rplo 459 (Proteobacteria),0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,0.0,0.0,0.0,0.0,58.0,28.0,0.0,0.0,0.0
rplo 46 (Proteobacteria),40.0,161.0,62.0,64.0,111.0,83.0,81.0,144.0,0.0,13.0,170.0,84.0,41.0,50.0,55.0,87.0,37.0,259.0,20.0
rplo 460 (Bacteroidetes),24.0,38.0,0.0,0.0,0.0,24.0,0.0,21.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 461 (Bacteroidetes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 462 (Chloroflexi),18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
rplo 463 (Chloroflexi),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
rplo 464 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 465 (Cyanobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 466 (Proteobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 47 (Proteobacteria),20.0,48.0,41.0,63.0,18.0,102.0,60.0,51.0,17.0,0.0,331.0,111.0,20.0,50.0,180.0,121.0,0.0,96.0,78.0
rplo 48 (Actinobacteria),42.0,151.0,87.0,90.0,96.0,65.0,63.0,131.0,54.0,27.0,111.0,117.0,21.0,132.0,19.0,73.0,78.0,183.0,21.0
rplo 49 (Gemmatimonadetes),64.0,84.0,22.0,157.0,76.0,86.0,43.0,57.0,90.0,41.0,200.0,147.0,62.0,79.0,77.0,91.0,78.0,34.0,103.0
rplo 5 (Firmicutes),751.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,740.0,0.0,584.0,2916.0,317.0,1538.0,0.0,60.0,0.0,0.0,0.0
rplo 50 (Actinobacteria),0.0,51.0,88.0,251.0,39.0,22.0,0.0,58.0,18.0,14.0,518.0,60.0,0.0,0.0,19.0,112.0,0.0,103.0,42.0
rplo 51 (Proteobacteria),41.0,33.0,42.0,0.0,151.0,43.0,42.0,37.0,0.0,27.0,43.0,0.0,1421.0,0.0,37.0,0.0,38.0,0.0,40.0
rplo 52 (Cyanobacteria),0.0,0.0,0.0,72.0,0.0,46.0,68.0,400.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,21.0,36.0,44.0
rplo 53 (Proteobacteria),95.0,38.0,49.0,50.0,0.0,0.0,95.0,85.0,81.0,154.0,149.0,66.0,191.0,59.0,0.0,41.0,0.0,76.0,136.0
rplo 54 (Proteobacteria),43.0,50.0,0.0,67.0,99.0,109.0,44.0,39.0,111.0,70.0,68.0,120.0,66.0,27.0,59.0,37.0,80.0,52.0,21.0
rplo 55 (Proteobacteria),48.0,0.0,101.0,104.0,67.0,49.0,98.0,66.0,42.0,47.0,103.0,170.0,49.0,61.0,133.0,42.0,134.0,59.0,0.0
rplo 56 (Proteobacteria),42.0,17.0,170.0,67.0,0.0,130.0,63.0,38.0,36.0,41.0,44.0,29.0,64.0,0.0,133.0,0.0,78.0,17.0,102.0
rplo 57 (Proteobacteria),20.0,64.0,41.0,106.0,18.0,165.0,101.0,36.0,17.0,0.0,127.0,111.0,20.0,75.0,127.0,17.0,37.0,113.0,117.0
rplo 58 (Proteobacteria),65.0,17.0,175.0,67.0,59.0,45.0,22.0,39.0,37.0,14.0,45.0,90.0,22.0,54.0,78.0,19.0,80.0,208.0,105.0
rplo 59 (Actinobacteria),21.0,84.0,64.0,89.0,19.0,65.0,21.0,132.0,35.0,41.0,175.0,87.0,63.0,26.0,0.0,18.0,136.0,152.0,20.0
rplo 6 (Actinobacteria),80.0,2113.0,1382.0,85.0,108.0,82.0,40.0,106.0,203.0,674.0,0.0,165.0,160.0,198.0,36.0,583.0,110.0,286.0,77.0
rplo 61 (Proteobacteria),17.0,358.0,124.0,92.0,32.0,54.0,18.0,78.0,0.0,11.0,128.0,97.0,18.0,65.0,95.0,45.0,16.0,84.0,34.0
rplo 62 (Proteobacteria),0.0,71.0,46.0,166.0,20.0,92.0,45.0,60.0,76.0,116.0,94.0,150.0,68.0,56.0,101.0,116.0,83.0,89.0,106.0
rplo 63 (Actinobacteria),0.0,38.0,0.0,200.0,21.0,0.0,0.0,751.0,20.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
rplo 64 (Cyanobacteria),26.0,0.0,0.0,0.0,253.0,0.0,78.0,0.0,0.0,17.0,0.0,0.0,52.0,0.0,0.0,0.0,119.0,18.0,25.0
rplo 65 (Actinobacteria),185.0,129.0,22.0,49.0,20.0,143.0,70.0,0.0,59.0,132.0,118.0,64.0,46.0,86.0,63.0,58.0,43.0,18.0,135.0
rplo 66 (Bacteroidetes),51.0,39.0,415.0,215.0,46.0,157.0,26.0,0.0,22.0,66.0,0.0,70.0,0.0,0.0,0.0,41.0,71.0,122.0,0.0
rplo 67 (Proteobacteria),0.0,20.0,76.0,208.0,112.0,0.0,48.0,64.0,42.0,0.0,51.0,99.0,0.0,61.0,67.0,127.0,272.0,157.0,24.0
rplo 68 (Firmicutes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,165.0,68.0,0.0,1444.0,0.0,0.0,0.0
rplo 69 (Proteobacteria),45.0,90.0,0.0,95.0,102.0,0.0,68.0,20.0,303.0,58.0,71.0,31.0,45.0,28.0,41.0,58.0,104.0,18.0,44.0
rplo 70 (Proteobacteria),0.0,0.0,90.0,93.0,20.0,90.0,44.0,137.0,19.0,14.0,46.0,61.0,66.0,55.0,19.0,208.0,61.0,141.0,21.0
rplo 71 (Actinobacteria),107.0,100.0,18.0,19.0,65.0,37.0,18.0,16.0,136.0,46.0,38.0,50.0,36.0,0.0,0.0,77.0,149.0,129.0,87.0
rplo 72 (Firmicutes),0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,72.0,0.0,1062.0,83.0,0.0,0.0,0.0
rplo 73 (Bacteroidetes),0.0,0.0,604.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,26.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,24.0
rplo 74 (Proteobacteria),0.0,0.0,21.0,21.0,18.0,21.0,61.0,90.0,17.0,509.0,85.0,56.0,0.0,48.0,73.0,35.0,130.0,32.0,0.0
rplo 75 (Acidobacteria),0.0,36.0,0.0,0.0,691.0,23.0,0.0,0.0,38.0,0.0,0.0,31.0,225.0,56.0,0.0,0.0,352.0,0.0,22.0
rplo 76 (Firmicutes),0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1461.0,0.0,0.0,0.0,0.0
rplo 77 (Proteobacteria),0.0,0.0,19.0,80.0,17.0,77.0,76.0,50.0,48.0,24.0,355.0,26.0,0.0,47.0,153.0,97.0,17.0,45.0,110.0
rplo 78 (Actinobacteria),44.0,103.0,22.0,23.0,79.0,132.0,88.0,117.0,19.0,28.0,46.0,60.0,0.0,0.0,0.0,38.0,20.0,17.0,84.0
rplo 79 (Actinobacteria),116.0,55.0,0.0,98.0,21.0,0.0,0.0,62.0,98.0,180.0,0.0,64.0,0.0,230.0,0.0,120.0,43.0,0.0,202.0
rplo 8 (Acidobacteria),60.0,168.0,0.0,383.0,275.0,93.0,1081.0,2338.0,126.0,294.0,32.0,125.0,61.0,38.0,0.0,206.0,84.0,72.0,117.0
rplo 80 (Actinobacteria),42.0,150.0,21.0,111.0,19.0,43.0,63.0,19.0,159.0,162.0,22.0,0.0,63.0,0.0,19.0,108.0,19.0,67.0,102.0
rplo 81 (unknown),20.0,32.0,0.0,86.0,37.0,20.0,41.0,718.0,119.0,13.0,42.0,28.0,0.0,50.0,37.0,0.0,19.0,16.0,59.0
rplo 82 (Actinobacteria),0.0,19.0,0.0,0.0,44.0,0.0,49.0,22.0,0.0,63.0,125.0,235.0,0.0,0.0,22.0,63.0,90.0,39.0,47.0
rplo 83 (Acidobacteria),0.0,0.0,68.0,0.0,60.0,68.0,178.0,138.0,19.0,0.0,23.0,0.0,0.0,0.0,20.0,0.0,41.0,53.0,64.0
rplo 84 (Proteobacteria),84.0,34.0,43.0,89.0,19.0,83.0,83.0,0.0,72.0,68.0,42.0,58.0,21.0,52.0,73.0,54.0,58.0,83.0,41.0
rplo 85 (Cyanobacteria),0.0,0.0,0.0,0.0,21.0,0.0,70.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rplo 86 (Proteobacteria),20.0,48.0,268.0,106.0,55.0,41.0,20.0,18.0,0.0,13.0,63.0,28.0,20.0,50.0,18.0,17.0,19.0,64.0,20.0
rplo 87 (Proteobacteria),42.0,83.0,43.0,109.0,96.0,65.0,63.0,113.0,36.0,40.0,44.0,0.0,63.0,79.0,76.0,18.0,58.0,34.0,41.0
